batter,runs_scored
K Gowtham,247
Harpreet Brar,244
SM Katich,241
A Mhatre,240
BCJ Cutting,238
MD Mishra,237
Aniket Verma,236
Mohammad Nabi,221
K Goel,218
Ramandeep Singh,217
AA Jhunjhunwala,217
K Rabada,215
R Dhawan,210
UT Yadav,208
CA Ingram,205
PD Collingwood,203
Kuldeep Yadav,201
KS Bharat,199
SK Warne,198
JD Unadkat,197
SP Fleming,196
AS Raut,194
Salman Butt,193
BJ Rohrer,193
YV Takawale,192
HC Brook,190
Bipul Sharma,187
R Shepherd,185
SD Hope,183
FY Fazal,183
MS Wade,183
Sikandar Raza,182
CR Brathwaite,181
AC Voges,181
S Gopal,180
AB Agarkar,179
C Munro,177
MF Maharoof,177
Sameer Rizvi,172
DH Yagnik,170
CM Gautam,169
DW Steyn,167
MG Johnson,167
MN van Wyk,167
PA Reddy,164
N Jagadeesan,162
MN Samuels,161
RE van der Merwe,159
R McLaren,159
D Wiese,148
AD Hales,148
SM Pollock,147
S Vidyut,145
Sachin Baby,144
V Nigam,142
M Jansen,141
N Saini,140
Anmolpreet Singh,139
SB Dubey,139
S Anirudha,136
SB Styris,131
W Jaffer,130
RD Chahar,129
Kamran Akmal,128
TK Curran,127
UT Khawaja,127
P Dogra,127
M Morkel,126
SS Prabhudessai,126
MC Juneja,125
BB Samantray,125
MM Sharma,125
B Lee,124
Harpreet Singh,123
AB McDonald,123
NK Patel,121
DL Vettori,121
AC Blizzard,120
TG Southee,120
Arshad Khan,119
RJ Harris,117
Z Khan,117
Misbah-ul-Haq,117
DL Chahar,117
MW Short,117
KK Cooper,116
DJM Short,115
Aman Hakim Khan,115
M Kartik,113
Mohammed Siraj,112
MA Starc,111
DJ Harris,111
MJ Santner,110
LJ Wright,106
JDP Oram,106
DS Kulkarni,104
RJ Quiney,103
Azmatullah Omarzai,99
MS Gony,99
SD Chitnis,99
MJ Clarke,98
CJ Ferguson,98
PN Mankad,97
PHKD Mendis,92
DJ Jacobs,92
PR Shah,92
JDS Neesham,92
S Rana,91
RT Ponting,91
AJ Tye,91
AD Nath,90
Iqbal Abdulla,88
SL Malinga,88
Ankit Sharma,87
AP Majumdar,87
TA Boult,85
MJ McClenaghan,85
Mohammed Shami,84
RE Levi,83
NM Coulter-Nile,82
LA Carseldine,81
WPUJC Vaas,81
PWH de Silva,81
CJ Jordan,81
Shahid Afridi,81
RV Patel,80
AD Mascarenhas,79
JR Philippe,78
CR Woakes,78
B Akhil,76
IR Jaggi,76
TR Birt,75
M Klinger,73
RR Sarwan,73
LH Ferguson,72
SK Rasheed,71
J Suchith,70
AA Bilakhia,69
Vivrant Sharma,69
JJ Bumrah,68
Urvil Patel,68
JG Bethell,67
RR Powar,67
HR Shokeen,66
R Sharma,66
WD Parnell,65
KA Jamieson,65
GD Phillips,65
Mohammad Hafeez,64
Anirudh Singh,63
A Flintoff,62
Avesh Khan,62
SP Jackson,61
Sandeep Sharma,60
Harshit Rana,59
S Aravind,59
MG Bracewell,58
I Sharma,57
WA Mota,56
Vishnu Vinod,56
M Rawat,55
DJ Willey,53
PVD Chameera,53
A Chopra,53
Shoaib Malik,52
RP Singh,52
Shivam Mavi,51
Swapnil Singh,51
R Rampaul,51
KB Arun Karthik,51
OF Smith,51
VR Aaron,50
RV Gomez,50
SB Bangar,49
AG Paunikar,49
A Nortje,49
AS Yadav,49
T Kohler-Cadmore,48
M Markande,48
Yashpal Singh,47
C Bosch,47
Ravi Bishnoi,45
D Pretorius,44
DR Sams,44
Sunny Singh,43
SK Trivedi,42
AB Barath,42
A Nehra,41
BR Dunk,40
Rasikh Salam,40
J Yadav,40
LPC Silva,40
S Nadeem,39
DJ Thornely,39
AUK Pathan,39
MM Patel,39
Umar Gul,39
S Narwal,37
YS Chahal,37
Anureet Singh,36
Sohail Tanvir,36
L Balaji,36
AN Ahmed,36
Joginder Sharma,36
KW Richardson,36
B Sumanth,35
M Ashwin,35
A Kumble,35
AP Dole,34
S Sreesanth,34
A Mithun,34
L Ronchi,34
Navdeep Saini,33
D Salunkhe,33
Imran Tahir,33
AT Carey,32
RJ Peterson,32
Basil Thampi,32
S Sriram,31
T Taibu,31
NS Naik,31
G Coetzee,31
Arshdeep Singh,31
VH Zol,29
J Syed Mohammad,29
SB Jakati,28
TU Deshpande,28
AS Joseph,27
AS Roy,26
MD Shanaka,26
AS Rajpoot,26
PJ Sangwan,26
JM Kemp,26
NL McCullum,26
DJ Malan,26
AB Dinda,26
TL Seifert,26
CV Varun,26
Akash Deep,25
S Chanderpaul,25
Mohsin Khan,25
A Choudhary,25
Sanvir Singh,25
MA Khote,24
Tanush Kotian,24
AJ Turner,24
ER Dwivedi,24
KC Cariappa,24
SW Tait,23
AF Milne,23
J Arunkumar,23
P Dubey,23
BMAJ Mendis,23
Umran Malik,23
Yudhvir Singh,22
Sediqullah Atal,22
SA Abbott,22
KL Nagarkoti,22
HE van der Dussen,22
GB Hogg,22
AU Rashid,22
B Indrajith,21
DE Bollinger,21
RR Raje,20
C Sakariya,20
Noor Ahmad,20
M Muralitharan,20
NJ Maddinson,20
BKG Mendis,20
AC Thomas,20
S Kaul,20
RA Bawa,19
R Shukla,19
JR Hazlewood,19
Gulbadin Naib,19
P Ray Barman,19
NT Ellis,19
P Sahu,19
DR Martyn,19
A Mukund,19
R Bishnoi,19
Y Gnaneswara Rao,19
T Banton,18
Harmeet Singh,18
BJ Haddin,18
JJ van der Wath,18
R Sai Kishore,18
Saurav Chauhan,18
Sumit Kumar,18
DS Lehmann,18
PV Tambe,18
Naveen-ul-Haq,18
KMA Paul,18
M Theekshana,17
JA Richardson,17
Parvez Rasool,17
A Kamboj,16
AJ Hosein,16
KS Sharma,16
CK Kapugedera,16
YV Dhull,16
PP Ojha,16
A Zampa,15
SD Lad,15
C Madan,15
JL Pattinson,15
GR Napier,15
I Udana,15
J Overton,15
Virat Singh,15
VY Mahesh,15
Vijaykumar Vyshak,14
MP Breetzke,14
FA Allen,14
F Behardien,14
MDKJ Perera,14
DR Shorey,13
DT Patil,13
Kartik Tyagi,13
S Badree,13
Arjun Tendulkar,13
KJ Abbott,13
Mustafizur Rahman,13
K Upadhyay,12
K Kartikeya,12
DG Nalkande,12
DAJ Bracewell,12
T Thushara,12
AR Bawne,12
Karanveer Singh,12
MA Wood,12
Mujeeb Ur Rahman,12
AA Chavan,12
DNT Zoysa,11
T Henderson,11
T Kohli,11
M Ntini,11
XC Bartlett,11
BB Sran,10
JE Root,10
RK Bhui,10
KAJ Roach,10
TD Paine,10
SMSM Senanayake,10
Simarjeet Singh,10
Mukesh Kumar,10
D du Preez,10
J Theron,10
X Thalaivan Sargunam,10
AG Murtaza,10
L Wood,9
SM Harwood,9
D Ferreira,9
AA Noffke,9
VG Arora,9
AA Kulkarni,9
M Prasidh Krishna,9
PWA Mulder,9
Akash Madhwal,8
OC McCoy,8
P Chopra,8
CK Langeveldt,8
KT Maphaka,8
CJ McKay,8
SH Johnson,8
TS Mills,8
TM Srivastava,8
JPR Scantlebury-Searles,8
Jaskaran Singh,8
AN Ghosh,7
UA Birla,7
I Malhotra,7
VS Malik,7
Ankit Soni,7
V Viyaskanth,7
Pankaj Singh,7
IS Sodhi,7
Suryansh Shedge,7
PSP Handscomb,6
JP Behrendorff,6
DM Bravo,6
SB Joshi,6
SS Shaikh,6
BA Bhatt,6
Mukesh Choudhary,6
R Minz,6
Fazalhaq Farooqi,5
SJ Srivastava,5
Arshad Khan (2),5
Shivam Sharma,5
KMDN Kulasekara,5
P Awana,5
Prince Yadav,5
B Stanlake,5
B Laughlin,5
A Tomar,4
VRV Singh,4
A Dananjaya,4
A Uniyal,4
CRD Fernando,4
Liton Das,4
DP Nannes,4
GD McGrath,4
RS Sodhi,4
FH Edwards,4
A Chandila,4
Yash Dayal,4
JE Taylor,3
RJW Topley,3
Kumar Kushagra,3
Younis Khan,3
T Natarajan,3
BAW Mendis,3
GC Viljoen,3
S Tyagi,3
Kamran Khan,3
D Kalyankrishna,3
M Tiwari,3
Mohammad Asif,3
R Ninan,3
KP Appanna,2
Mohammad Ashraful,2
Mashrafe Mortaza,2
T Shamsi,2
BR Sharath,2
S Randiv,2
SB Wagh,2
RJ Gleeson,2
GHS Garton,2
H Das,2
RG More,2
VS Yeligati,2
A Singh,2
RS Gavaskar,2
KK Ahmed,2
Shoaib Akhtar,2
Shivam Singh,2
M de Lange,1
MS Bhandage,1
MJ Suthar,1
NJ Rimmington,1
KA Maharaj,1
HF Gurney,1
Shoaib Ahmed,1
Mohit Rathee,1
DP Vijaykumar,1
SE Bond,1
PM Sarvesh Kumar,1
Abdul Basith,1
LB Williams,1
PVSN Raju,1
LE Plunkett,1
DJ Muthuswami,1
SZ Mulani,1
DS Rathi,1
BE Hendricks,1
P Parameswaran,1
YA Abdulla,0
Y Prithvi Raj,0
RR Bhatkal,0
RP Meredith,0
V Pratap Singh,0
IC Pandey,0
S Kaushik,0
S Lamichhane,0
S Ladda,0
K Yadav,0
SS Cottrell,0
KM Asif,0
KR Sen,0
KS Rathore,0
JL Denly,0
R Sanjay Yadav,0
Abdur Razzak,0
L Ngidi,0
ND Doshi,0
Sunny Gupta,0
C Nanda,0
Musheer Khan,0
L Ablish,0
Mayank Dagar,0
MJ Owen,0
U Kaul,0
